Name,Gift1,Gift2,Gift3,Gift4,Gift5										
Abigail,Amethyst,Pufferfish,Pumpkin,Blackberry Cobbler,Spicy Eel									
Alex,Complete Breakfast,Salmon Dinner,Egg,Parsnip,Pepper										
Elliott,Crab Cakes,Pomegranate,Duck Feather,Lobster,Tomato										
Emily,Amethyst,Topaz,Wool,Cloth,Quartz										
Haley,Coconut,Sunflower,Daffodil,Pink Cake,Fruit Salad										
Harvey,Coffee,Pickles,Parsnip Juice,Sweet Pea,Salmonberry										
Jas,Ancient Doll,Fairy Rose,Plum Pudding,Pink Cake,Fairy Box								
Jodi,Chocolate Cake,Eggplant Parmesan,Diamond,Chocolate Cake,	Rhubarb Pie										
Kent,Fiddlehead Risotto,Roasted Hazelnuts,Rabbit's Foot,Prismatic Shard,Pearl									
Krobus,Pumpkin,Void Egg,Void Mayonnaise,Wild Horseradish,Quartz										
Leah,Salad,Goat Cheese,Truffle,Vegetable Medley,Wild Horseradish										
Leo,Duck Feather,Mango,Ostrich Egg,Seaweed,Cactus Fruit										
Lewis,Glazed Yams,Hot Pepper,Autumn�s Bounty,Green Tea,Parsnip										
Linus,Yam,Wild Horseradish,Cactus Fruit,Coconut,Sashimi										
Marnie,Diamond,Pink Cake,Farmer�s Lunch,Quartz,Egg										
Maru,Battery Pack,Strawberry,Cauliflower,Gold Bar,Diamond										
Pam,Parsnip,Beer,Glazed Yams,Cactus Fruit,Mead										
Penny,Melon,Poppy,Diamond,Emerald,Melon										
Pierre,Fried Calamari,Vegetable Medley,Parsnip,Hot Pepper,Cookie										
Robin,Goat Cheese,Peach,Spaghetti,Hardwood,Quartz										
Sam,Cactus Fruit,Maple Bar,Pizza,Tigerseye,Joja Cola										
Sandy,Daffodil,Coconut,Crocus,Peach,Spice Berry										
Sebastian,Sashimi,Frozen Tear,Quartz,Pumpkin Soup,Obsidian										
Shane,Beer,Hot Pepper,Pepper Poppers,Salmon Dinner,Pizza										
Vincent,Frog Egg,Snail,Grape,Ginger Ale,Pink Cake							
Willy,Catfish,Diamond,Pumpkin,Sea Cucumber,Clam										
Wizard,Purple Mushroom,Void Essence,Solar Essence,Super Cucumber,Quartz										
Gus,Diamond,Escargot,Fish Taco,Orange,Pancakes
Clint,Topaz,Aquamarine,Emerald,Gold Bar,Jade
Caroline,Summer Spangle,Tropical Curry,Green Tea,Daffodil,Tea Leaf
Evelyn,Fairy Rose,Chocolate Cake,Tulip,Diamond,Stuffing
George,Leek,Fried Mushroom,Stardrop Tea,Rabbit's Foot,Prismatic Shard
Dwarf,Amethyst,Aquamarine,Emerald,Jade,Topaz
Mr. Qi,Golden Pumpkin,Magic Rock Candy,Pearl,Galaxy Soul,Iridium Bar
Demetrius,Strawberry,Ice Cream,Bean Hotpot,Rabbit's Foot,Pearl
Gil,,,,,
Gunther,,,,,
Morris,,,,,
Birdie,,,,,
Governor,,,,,
Grandpa,,,,,
Bouncer,,,,,
Henchman,,,,,
Professor Snail,,,,,
Leo's Parrot,,,,,
Joja Customers,,,,,
Marlon,,,,,
